ม๖มก,ม๖มกธํ,ภฯฝร,รึภ๚ฑโฟย(กฦC),รึฐํฑโฟย(กฦC),ภฯฐญผ๖ทฎ(mm),ฦ๒ฑี วณผำ(m/s),ฦ๒ฑี ป๓ด๋ฝภตต(%),ภฯ รึฝษฝลภ๛ผณ(cm),ฦ๒ฑี ภüฟ๎ทฎ(1/10),พศฐณ ฐ่ผำฝรฐฃ(hr),ภฯ นฬผผธีม๖ ณ๓ตต(งถ/งฉ)
175,ม๘ตต(รทย๛ป๊),2002-05-02,11.0,17.8,0.3,10.3,69.6,,6.6,,
175,ม๘ตต(รทย๛ป๊),2002-05-03,11.9,21.1,17.5,4.1,98.6,,10.0,19.17,
175,ม๘ตต(รทย๛ป๊),2002-05-04,13.1,20.1,,5.1,91.9,,5.3,11.33,
175,ม๘ตต(รทย๛ป๊),2002-05-05,12.5,21.7,0.2,6.2,73.1,,8.4,,
175,ม๘ตต(รทย๛ป๊),2002-05-06,9.1,13.6,4.5,12.4,83.1,,10.0,0.83,
175,ม๘ตต(รทย๛ป๊),2002-05-07,9.7,14.7,21.0,7.4,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-05-08,10.2,16.0,0.5,3.9,97.6,,10.0,17.83,
175,ม๘ตต(รทย๛ป๊),2002-05-09,11.3,17.3,0.5,1.8,95.0,,10.0,8.67,
175,ม๘ตต(รทย๛ป๊),2002-05-10,10.6,18.3,,2.5,91.0,,9.0,2.67,
175,ม๘ตต(รทย๛ป๊),2002-05-11,11.5,20.8,,3.0,75.5,,2.6,,
175,ม๘ตต(รทย๛ป๊),2002-05-12,12.8,23.1,,2.6,71.3,,1.9,,
175,ม๘ตต(รทย๛ป๊),2002-05-13,16.7,24.2,,2.8,45.8,,6.1,,
175,ม๘ตต(รทย๛ป๊),2002-05-14,12.1,19.8,14.0,7.4,78.6,,9.9,4.67,
175,ม๘ตต(รทย๛ป๊),2002-05-15,13.0,15.2,24.0,13.8,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-05-16,13.1,14.6,9.5,5.7,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-05-17,13.1,14.6,3.0,5.2,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-05-18,11.6,17.5,,2.6,97.5,,9.3,17.83,
175,ม๘ตต(รทย๛ป๊),2002-05-19,10.6,18.4,,5.1,81.8,,4.0,10.5,
175,ม๘ตต(รทย๛ป๊),2002-05-20,12.6,22.7,,3.9,60.6,,1.3,,
175,ม๘ตต(รทย๛ป๊),2002-05-21,16.0,25.5,,4.3,47.1,,7.8,,
175,ม๘ตต(รทย๛ป๊),2002-05-22,11.1,20.7,1.5,5.8,65.1,,9.8,,
175,ม๘ตต(รทย๛ป๊),2002-05-23,14.7,25.8,,5.5,42.0,,0.9,,
175,ม๘ตต(รทย๛ป๊),2002-05-24,15.0,24.6,,7.2,41.8,,1.1,,
175,ม๘ตต(รทย๛ป๊),2002-05-25,14.2,26.8,,6.4,42.5,,0.4,,
175,ม๘ตต(รทย๛ป๊),2002-05-26,13.1,23.9,,5.6,41.3,,0.4,,
175,ม๘ตต(รทย๛ป๊),2002-05-27,14.5,25.4,,4.1,33.5,,2.0,,
175,ม๘ตต(รทย๛ป๊),2002-05-28,13.8,22.1,1.5,4.0,70.6,,5.0,,
175,ม๘ตต(รทย๛ป๊),2002-05-29,13.8,23.3,,3.5,88.0,,6.4,9.0,
175,ม๘ตต(รทย๛ป๊),2002-05-30,15.2,21.6,,5.2,93.5,,8.1,17.0,
175,ม๘ตต(รทย๛ป๊),2002-05-31,14.6,23.8,,3.3,86.1,,5.9,14.25,
175,ม๘ตต(รทย๛ป๊),2002-06-01,14.7,27.4,,4.5,77.6,,4.1,7.17,
175,ม๘ตต(รทย๛ป๊),2002-06-02,17.1,27.2,6.5,3.6,87.4,,5.3,5.83,
175,ม๘ตต(รทย๛ป๊),2002-06-03,16.2,25.9,,2.5,64.5,,3.3,5.17,
175,ม๘ตต(รทย๛ป๊),2002-06-04,17.5,27.1,,3.8,37.0,,3.9,,
175,ม๘ตต(รทย๛ป๊),2002-06-05,19.5,28.2,,3.8,58.1,,3.6,,
175,ม๘ตต(รทย๛ป๊),2002-06-06,19.6,28.4,,5.7,52.3,,1.1,,
175,ม๘ตต(รทย๛ป๊),2002-06-07,18.1,29.4,,4.0,69.4,,0.0,,
175,ม๘ตต(รทย๛ป๊),2002-06-08,18.6,27.1,,3.9,78.3,,2.4,,
175,ม๘ตต(รทย๛ป๊),2002-06-09,16.9,25.4,,6.3,83.8,,2.4,0.67,
175,ม๘ตต(รทย๛ป๊),2002-06-10,18.0,22.6,33.0,8.2,98.9,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-06-11,18.3,23.8,22.5,6.6,61.6,,3.6,6.67,
175,ม๘ตต(รทย๛ป๊),2002-06-12,19.0,24.3,,6.2,70.8,,5.5,7.67,
175,ม๘ตต(รทย๛ป๊),2002-06-13,14.6,24.2,,5.4,69.1,,3.3,2.67,
175,ม๘ตต(รทย๛ป๊),2002-06-14,14.0,24.9,,4.8,71.5,,2.5,7.67,
175,ม๘ตต(รทย๛ป๊),2002-06-15,16.9,24.4,,3.0,51.5,,2.5,,
175,ม๘ตต(รทย๛ป๊),2002-06-16,18.7,26.9,,1.9,48.1,,3.4,,
175,ม๘ตต(รทย๛ป๊),2002-06-17,19.1,27.1,,2.8,56.1,,3.8,,
175,ม๘ตต(รทย๛ป๊),2002-06-18,16.9,26.7,,4.2,70.6,,2.3,,
175,ม๘ตต(รทย๛ป๊),2002-06-19,18.8,22.6,7.0,6.4,97.9,,10.0,20.42,
175,ม๘ตต(รทย๛ป๊),2002-06-20,18.3,24.5,0.0,5.0,94.3,,7.5,11.0,
175,ม๘ตต(รทย๛ป๊),2002-06-21,17.5,26.2,,3.8,83.3,,4.9,8.5,
175,ม๘ตต(รทย๛ป๊),2002-06-22,16.5,23.5,,8.0,84.9,,2.1,,
175,ม๘ตต(รทย๛ป๊),2002-06-23,15.7,17.1,15.0,11.9,96.5,,10.0,11.33,
175,ม๘ตต(รทย๛ป๊),2002-06-24,13.6,17.8,43.5,14.5,99.0,,10.0,15.83,
175,ม๘ตต(รทย๛ป๊),2002-06-25,13.1,21.4,2.5,5.4,90.3,,9.4,,
175,ม๘ตต(รทย๛ป๊),2002-06-26,14.0,20.7,1.0,2.6,93.0,,6.8,,
175,ม๘ตต(รทย๛ป๊),2002-06-27,14.2,22.1,,1.6,89.5,,3.0,,
175,ม๘ตต(รทย๛ป๊),2002-06-28,15.9,22.8,,5.4,85.6,,4.0,,
175,ม๘ตต(รทย๛ป๊),2002-06-29,16.6,27.2,,4.0,86.1,,8.8,,
175,ม๘ตต(รทย๛ป๊),2002-06-30,19.0,23.3,0.0,4.1,94.4,,10.0,5.17,
175,ม๘ตต(รทย๛ป๊),2002-07-01,18.9,20.7,4.0,6.0,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-07-02,18.7,23.1,0.2,2.1,98.9,,10.0,18.38,
175,ม๘ตต(รทย๛ป๊),2002-07-03,20.7,27.9,,4.1,94.6,,8.5,6.67,
175,ม๘ตต(รทย๛ป๊),2002-07-04,21.5,24.4,1.0,7.4,96.9,,10.0,1.08,
175,ม๘ตต(รทย๛ป๊),2002-07-05,19.5,22.7,74.0,16.2,99.0,,10.0,15.5,
175,ม๘ตต(รทย๛ป๊),2002-07-06,18.7,19.7,9.5,10.5,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-07-07,18.7,25.0,0.1,4.5,83.6,,8.8,12.5,
175,ม๘ตต(รทย๛ป๊),2002-07-08,18.9,20.5,10.5,3.9,96.6,,10.0,16.83,
175,ม๘ตต(รทย๛ป๊),2002-07-09,19.7,25.9,1.5,2.6,96.3,,8.8,13.67,
175,ม๘ตต(รทย๛ป๊),2002-07-10,19.9,26.2,,3.2,92.4,,6.1,5.17,
175,ม๘ตต(รทย๛ป๊),2002-07-11,18.6,22.7,,3.2,97.1,,7.5,19.33,
175,ม๘ตต(รทย๛ป๊),2002-07-12,18.9,26.4,,3.4,85.1,,2.1,,
175,ม๘ตต(รทย๛ป๊),2002-07-13,19.4,28.0,0.5,5.3,95.4,,9.1,18.42,
175,ม๘ตต(รทย๛ป๊),2002-07-14,21.9,23.5,1.0,5.9,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-07-15,22.1,29.8,,3.9,93.6,,7.1,12.5,
175,ม๘ตต(รทย๛ป๊),2002-07-16,20.9,29.6,0.0,6.4,80.3,,7.8,7.17,
175,ม๘ตต(รทย๛ป๊),2002-07-17,19.4,26.4,,5.7,90.0,,5.5,6.33,
175,ม๘ตต(รทย๛ป๊),2002-07-18,18.6,23.4,0.0,5.2,91.9,,9.0,6.67,
175,ม๘ตต(รทย๛ป๊),2002-07-19,20.0,23.3,53.0,6.2,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-07-20,18.8,26.9,45.5,3.9,94.5,,9.1,14.0,
175,ม๘ตต(รทย๛ป๊),2002-07-21,21.4,23.9,13.5,3.8,99.0,,10.0,19.17,
175,ม๘ตต(รทย๛ป๊),2002-07-22,21.7,23.5,11.5,6.4,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-07-23,20.7,26.1,,6.3,96.3,,9.0,11.5,
175,ม๘ตต(รทย๛ป๊),2002-07-24,22.5,28.6,,3.9,90.9,,4.6,11.67,
175,ม๘ตต(รทย๛ป๊),2002-07-25,21.9,30.9,,2.7,90.3,,2.5,,
175,ม๘ตต(รทย๛ป๊),2002-07-26,22.9,25.8,83.0,9.6,91.8,,10.0,13.83,
175,ม๘ตต(รทย๛ป๊),2002-07-27,22.5,27.5,8.5,12.8,93.3,,8.6,10.67,
175,ม๘ตต(รทย๛ป๊),2002-07-28,21.5,23.6,2.5,9.3,98.6,,10.0,16.5,
175,ม๘ตต(รทย๛ป๊),2002-07-29,22.0,26.9,7.0,3.5,98.3,,10.0,21.58,
175,ม๘ตต(รทย๛ป๊),2002-07-30,23.0,29.0,,2.0,96.9,,7.0,10.67,
175,ม๘ตต(รทย๛ป๊),2002-07-31,22.6,29.8,,3.1,91.3,,3.1,4.5,
175,ม๘ตต(รทย๛ป๊),2002-08-01,22.2,30.0,,3.4,88.0,,1.5,1.33,
175,ม๘ตต(รทย๛ป๊),2002-08-02,20.8,28.8,,3.6,92.8,,6.6,4.17,
175,ม๘ตต(รทย๛ป๊),2002-08-03,22.4,28.9,,4.1,94.4,,7.0,9.5,
175,ม๘ตต(รทย๛ป๊),2002-08-04,23.2,28.0,,4.4,98.1,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-08-05,23.5,27.6,,7.3,95.5,,7.5,10.67,
175,ม๘ตต(รทย๛ป๊),2002-08-06,22.8,24.8,46.0,7.9,99.0,,10.0,23.17,
175,ม๘ตต(รทย๛ป๊),2002-08-07,21.5,24.5,128.0,8.1,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-08-08,20.7,24.0,60.0,4.2,99.0,,10.0,21.17,
175,ม๘ตต(รทย๛ป๊),2002-08-09,20.5,26.5,,4.8,95.0,,6.9,8.67,
175,ม๘ตต(รทย๛ป๊),2002-08-10,17.0,23.0,24.8,6.3,99.0,,9.3,18.5,
175,ม๘ตต(รทย๛ป๊),2002-08-11,19.0,22.6,2.0,5.3,98.3,,9.5,21.5,
175,ม๘ตต(รทย๛ป๊),2002-08-12,18.4,21.1,47.5,3.9,99.0,,10.0,19.33,
175,ม๘ตต(รทย๛ป๊),2002-08-13,20.0,25.2,1.0,3.3,94.0,,9.4,10.33,
175,ม๘ตต(รทย๛ป๊),2002-08-14,18.0,21.8,23.0,4.6,99.0,,10.0,23.17,
175,ม๘ตต(รทย๛ป๊),2002-08-15,19.8,24.0,29.0,4.3,98.1,,9.8,15.25,
175,ม๘ตต(รทย๛ป๊),2002-08-16,20.1,25.9,2.0,3.4,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-08-17,20.7,26.8,,5.0,95.1,,5.0,9.67,
175,ม๘ตต(รทย๛ป๊),2002-08-18,20.9,28.4,,2.2,93.8,,4.1,,
175,ม๘ตต(รทย๛ป๊),2002-08-19,20.9,27.3,,2.2,80.3,,7.8,3.17,
175,ม๘ตต(รทย๛ป๊),2002-08-20,18.8,23.3,0.4,3.6,94.0,,10.0,3.75,
175,ม๘ตต(รทย๛ป๊),2002-08-21,18.0,27.6,,3.4,83.3,,4.3,0.75,
175,ม๘ตต(รทย๛ป๊),2002-08-22,20.4,24.4,1.5,4.9,97.0,,8.8,4.17,
175,ม๘ตต(รทย๛ป๊),2002-08-23,21.5,26.1,9.5,4.9,94.3,,8.4,15.17,
175,ม๘ตต(รทย๛ป๊),2002-08-24,21.2,27.1,12.0,3.4,94.8,,8.1,5.33,
175,ม๘ตต(รทย๛ป๊),2002-08-25,21.4,27.4,,2.9,98.1,,10.0,16.0,
175,ม๘ตต(รทย๛ป๊),2002-08-26,22.6,23.9,,7.8,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-08-27,22.4,29.1,11.5,5.5,93.9,,7.5,11.67,
175,ม๘ตต(รทย๛ป๊),2002-08-28,22.6,30.5,4.5,2.5,94.6,,7.3,3.0,
